French,English
histoire,history
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
laisse,leash
ville,city
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
revoir,meet again
place,square
parle,speak
compris,understood
savais,knew
attention,Warning
donner,give
type,type
écoute,listen
dont,whose
trouve,find
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
sois,be
venez,come
minutes,minutes
demandé,request
aimerais,would like to
mari,husband
cause,cause
enfin,finally
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
aura,will have
filles,girls
jouer,to play
bureau,office
